imagePositionX,imagePositionY,eventType
487.42,863.8,3
530.23,972.22,1
590.5,726.56,1
635.15,709.81,1
534.11,989.89,1
486.25,1087.21,2
513.66,1112.91,2
545.54,1114.88,2
596.42,1005.21,0
642.81,821.74,0
663.54,808.4,0
673.24,780.35,0
692.22,760.75,1
651.96,1035.51,1
703.73,861.67,1
697.59,1020.62,3
694.4,830.51,2
702.63,807.86,2
704.6,791.57,2
708.33,789.78,2
720.85,1081.99,2
765.97,1213.1,2
718.2,1033.37,2
713.83,855.26,2
715.13,830.91,2
719.96,812.39,2
700.49,1037.88,2
759.55,1179.62,2
713.86,862.77,2
727.13,828.06,2
737.11,795.48,2
740.45,774.95,2
742.57,786.36,2
748.76,723.49,0
740.76,747.29,0
738.44,742.06,0
748.63,680.64,0
739.07,672.89,0
735.82,658.6,0
730.44,648.28,0
722.96,629.59,1
718.1,607.02,1
719.83,599.65,1
721.54,584.63,0
723.92,574.15,0
727.42,564.05,0
729.14,544.95,1
730.42,523.15,1
728.73,512.29,0
724.08,494.14,0
720.36,480.21,0
722.79,473.09,0
723.74,466.69,1
711.63,446.06,1
713.27,448.85,1
720.61,459.82,0
721.83,469.81,0
720.21,471.7,0
716.09,472.07,0
709.93,472.94,0
706.4,470.16,1
705.6,463.6,1
703.4,463.26,0
699.62,472,0
695.23,474.61,0
682.58,488.92,1
886.92,506.85,1
1049.65,518.05,0
1006.7,548.15,0
986.27,578.83,0
939.17,627.78,0
1063.26,673.09,1
1191.16,750.66,1
1277.24,849.63,1
1214.19,896.74,1
1103.67,927.52,1
1009.28,950.05,0
997.3,1039.03,0
1122.09,984.62,1
1321.04,1044.66,1
1256.77,928.87,0
1241.03,861.39,0
1159.45,793.11,0
1048.04,767.25,1
939.1,724.61,1
893.55,706.72,1
1150.85,775.89,2
1115.9,785.2,2
1029.22,765.22,2
960.42,743.01,2
3246.69,1448.06,2
1206.56,1099.3,2
1166.13,1046.37,2
1067.2,964.64,2
1007.12,917.5,2
1026.13,925.89,2
1085.41,1004.31,2
1010.95,938.18,0
963.86,899.06,0
919.38,864.57,0
867.31,826.67,0
876.06,828.35,0
877.1,824.97,0
825.35,802.08,0
775.74,773.78,0
736.75,763.84,0
733.66,757.04,0
901.73,724.28,2
863.84,699.47,2
825.14,697.01,2
780.36,712.01,2
818.66,690.42,2
1220.59,681.44,2
1321.57,686.1,2
1187.59,680.26,2
1078.79,691.28,2
1272.73,686.87,2
1296.77,645.1,2
1321.1,651.43,2
1181.16,646.74,2
1067.61,647.66,2
967.44,660.17,2
895.49,676.54,2
861.07,613.36,0
807.26,619,0
774.64,634.14,0
743.74,643.63,0
715.51,633.99,0
686.91,641.98,0
669.17,649.36,0
643.78,659.26,1
608.54,682.59,1
582.85,707.16,1
561.52,723.56,1
465.47,713.16,1
446.65,737.7,0
420.03,748.81,0
456.26,761.04,0
466.22,773.29,0
476.41,793.83,0
456.38,851.72,2
477.07,841.17,2
500.96,849.91,2
517.35,863.79,2
536.28,861.63,2
625.85,812.74,2
670.11,851.59,2
684.88,734.35,0
703.87,696.56,0
704.76,728.98,0
720.97,723.49,0
692.65,911.06,1
724.07,1186.46,1
731.89,1121.18,1
845.89,1200.16,2
783.47,1061.46,2
737.6,1136.93,2
780.57,1249.25,2
696.89,900.08,2
749.35,872.66,2
