vRoot,vBones#srfBind_Cn_Pelvis,vBones#srfBind_Cn_SpineA,vBones#srfBind_Cn_SpineB,vBones#srfBind_Cn_SpineC,vBones#srfBind_Cn_Neck,vBones#srfBind_Cn_Head,aRoot,aBones#srfBind_Cn_Pelvis,aBones#srfBind_Cn_SpineA,aBones#srfBind_Cn_SpineB,aBones#srfBind_Cn_SpineC,aBones#srfBind_Cn_Neck,aBones#srfBind_Cn_Head,p0Root,p0Bones#srfBind_Cn_Pelvis,p0Bones#srfBind_Cn_SpineA,p0Bones#srfBind_Cn_SpineB,p0Bones#srfBind_Cn_SpineC,p0Bones#srfBind_Cn_Neck,p0Bones#srfBind_Cn_Head,pRoot,pBones#srfBind_Cn_Pelvis,pBones#srfBind_Cn_SpineA,pBones#srfBind_Cn_SpineB,pBones#srfBind_Cn_SpineC,pBones#srfBind_Cn_Neck,pBones#srfBind_Cn_Head,wRoot,wBones#srfBind_Cn_Pelvis,wBones#srfBind_Cn_SpineA,wBones#srfBind_Cn_SpineB,wBones#srfBind_Cn_SpineC,wBones#srfBind_Cn_Neck,wBones#srfBind_Cn_Head,pEndEff#Hand_L,pEndEff#Hand_R,pEndEff#srfBind_Lf_FootA,pEndEff#srfBind_Rt_FootA,wEndEff#Hand_L,wEndEff#Hand_R,wEndEff#srfBind_Lf_FootA,wEndEff#srfBind_Rt_FootA,p0,p
0,21.26582,5.173754,11.86941,11.86941,15.74656,70.48192,0,480.3815,0,204.5536,204.5536,454.6156,1711.438,0,0.1310021,0,0.1585338,0.1584734,0.1196736,0.3421755,0,0.08972945,0.03097075,0.1135802,0.1135366,0.1649609,0.2793968,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1877906,0.1658274
0,19.24896,4.893881,11.92861,11.92861,8.882252,21.78937,0,207.6298,0,225.2062,225.2062,441.8866,808.8652,0,0.05662156,0,0.17454,0.1744735,0.1163228,0.1617201,0,0.08738115,0.02974184,0.1180292,0.1179838,0.1729152,0.2752753,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1273076,0.1692061
0,13.32338,4.441125,12.16253,12.16253,19.86134,23.41017,0,191.7561,50.35762,213.6493,213.6493,514.7825,477.7347,0,0.05229273,0.06734336,0.1655831,0.1655201,0.135512,0.09551565,0,0.08537783,0.03034429,0.1220207,0.1219739,0.1872277,0.276149,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1150666,0.1750922
0,10.41536,4.441125,12.83873,12.83873,7.022036,11.92861,0,225.2062,50.35762,123.3505,123.3505,1137.798,1323.754,0,0.0614147,0.06734336,0.09559945,0.09556307,0.2995156,0.2646641,0,0.08154616,0.03218165,0.1163067,0.1162625,0.229263,0.3137301,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1846476,0.1891948
0,13.48106,4.597001,14.19375,14.19375,36.02141,45.67827,0,291.4659,61.67524,71.21642,71.21642,1624.391,2737.748,0,0.07948402,0.08247843,0.05519437,0.05517336,0.427607,0.5473702,0,0.08213287,0.03088776,0.1084264,0.1083855,0.2799805,0.3881702,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2925241,0.216592
0,21.88614,5.567245,13.89279,13.89279,21.23267,50.16185,0,375.156,0,100.7152,100.7152,1361.529,2076.943,0,0.1023067,0,0.07805663,0.07802692,0.3584108,0.4152526,0,0.08956739,0.02627655,0.09889132,0.09885383,0.3058559,0.419014,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2363928,0.2374507
0,33.90594,6.052233,11.26031,11.26031,25.51238,32.00352,0,390.0687,0,181.567,181.567,295.7841,1830.646,0,0.1063734,0,0.1407186,0.1406651,0.07786261,0.3660094,0,0.09692292,0.02044409,0.08993143,0.08989707,0.287886,0.4515752,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1791157,0.2494458
0,46.66991,5.567245,7.121644,7.121644,29.0013,41.08279,0,174.4439,0,79.62239,79.62239,1180.997,2280.641,0,0.04757162,0,0.06170918,0.0616857,0.3108873,0.4559787,0,0.1040983,0.01178274,0.08086099,0.08083031,0.3124607,0.4857746,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2290378,0.2575559
0,47.75907,4.747762,5.439245,5.439245,19.89677,104.6031,0,517.2397,0,118.0991,118.0991,2041.536,5001.638,0,0.1410535,0,0.0915295,0.09149467,0.5374168,1,0,0.1206143,0.005127863,0.07447092,0.07444257,0.3406766,0.6226805,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.4640807,0.2745043
0,33.3825,4.441125,5.814797,5.814797,53.61032,109.1063,0,705.9067,0,94.21048,94.21048,1626.342,3541.894,0,0.1925038,0,0.07301529,0.0729875,0.4281204,0.7081468,0,0.1472796,0,0.06629602,0.06627079,0.3353775,0.5494323,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.3504795,0.268425
0,20.17802,4.111682,7.962241,7.962241,19.96746,84.2498,0,293.633,0,79.62239,79.62239,207.6298,1792.145,0,0.08007499,0,0.06170918,0.0616857,0.05465675,0.3583117,0,0.1580092,0,0.05732838,0.05730659,0.2800247,0.476144,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1480477,0.2529678
0,17.44441,4.111682,10.14123,10.14123,17.11832,50.9007,0,386.8044,0,50.35762,50.35762,774.4293,966.0301,0,0.1054833,0,0.03902831,0.03901346,0.2038618,0.1931427,0,0.1750322,0,0.05139732,0.05137782,0.3168868,0.4431203,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1245294,0.250915
0,9.715529,3.936636,12.04614,12.04614,23.31973,82.84161,0,1000.208,0,35.60821,35.60821,1770.434,2781.403,0,0.2727611,0,0.02759718,0.02758668,0.4660514,0.5560983,0,0.1913351,0,0.05722907,0.05720767,0.361352,0.4892094,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.307302,0.2608024
